start,stop,status.time,Team,Season,Time,Status,SpellNumber,NewlyPromoted,FirstSeasonFinish,FirstSeasonRelegated,SquadValueMillions,SquadValueRank,GoalsScored,GoalsConceded,TMEFSmillions
0,1,0,AFC Bournemouth,2015/16,5,1,1,1,16,0,74.83,20,45,67,60.62
1,2,0,AFC Bournemouth,2016/17,5,1,1,1,16,0,74.83,20,45,67,60.62
2,3,0,AFC Bournemouth,2017/18,5,1,1,1,16,0,74.83,20,45,67,60.62
3,4,0,AFC Bournemouth,2018/19,5,1,1,1,16,0,74.83,20,45,67,60.62
4,5,1,AFC Bournemouth,2019/20,5,1,1,1,16,0,74.83,20,45,67,60.62
0,1,0,Aston Villa,2019/20,1,0,2,1,17,0,203.06,18,41,67,175.01
0,1,1,Birmingham City,2007/08,1,1,2,1,19,1,70.9,16,46,62,32.23
0,1,0,Birmingham City,2009/10,2,1,3,1,9,0,69.85,18,38,47,22.06
1,2,1,Birmingham City,2010/11,2,1,3,1,9,0,69.85,18,38,47,22.06
0,1,1,Blackpool,2010/11,1,1,1,1,19,1,41.91,20,55,78,6.3
0,1,0,Brighton & Hove Albion,2017/18,3,0,1,1,15,0,117.43,18,34,54,73.7
1,2,0,Brighton & Hove Albion,2018/19,3,0,1,1,15,0,117.43,18,34,54,73.7
2,3,0,Brighton & Hove Albion,2019/20,3,0,1,1,15,0,117.43,18,34,54,73.7
0,1,1,Burnley,2009/10,1,1,1,1,18,1,42.3,20,42,82,14.89
0,1,1,Burnley,2014/15,1,1,2,1,19,1,40.43,20,28,53,13.88
0,1,0,Burnley,2016/17,4,0,3,1,16,0,89.98,20,39,55,50.16
1,2,0,Burnley,2017/18,4,0,3,1,16,0,89.98,20,39,55,50.16
2,3,0,Burnley,2018/19,4,0,3,1,16,0,89.98,20,39,55,50.16
3,4,0,Burnley,2019/20,4,0,3,1,16,0,89.98,20,39,55,50.16
0,1,1,Cardiff City,2013/14,1,1,1,1,20,1,101.59,17,32,74,50.4
0,1,1,Cardiff City,2018/19,1,1,2,1,18,1,83.6,20,34,69,56.32
0,1,0,Crystal Palace,2013/14,7,0,2,1,11,0,70.68,20,33,48,36.29
1,2,0,Crystal Palace,2014/15,7,0,2,1,11,0,70.68,20,33,48,36.29
2,3,0,Crystal Palace,2015/16,7,0,2,1,11,0,70.68,20,33,48,36.29
3,4,0,Crystal Palace,2016/17,7,0,2,1,11,0,70.68,20,33,48,36.29
4,5,0,Crystal Palace,2017/18,7,0,2,1,11,0,70.68,20,33,48,36.29
5,6,0,Crystal Palace,2018/19,7,0,2,1,11,0,70.68,20,33,48,36.29
6,7,0,Crystal Palace,2019/29,7,0,2,1,11,0,70.68,20,33,48,36.29
0,1,1,Derby County,2007/08,1,1,2,1,20,1,55.63,18,20,89,24.94
0,1,1,Fulham,2018/19,1,1,2,1,19,1,263.45,12,34,81,128.15
0,1,0,Huddersfield Town,2017/18,2,1,1,1,16,0,70.84,20,28,58,62.43
1,2,1,Huddersfield Town,2018/19,2,1,1,1,16,0,70.84,20,28,58,62.43
0,1,0,Hull City,2008/09,2,1,1,1,17,0,42.49,20,39,64,19.74
1,2,1,Hull City,2009/10,2,1,1,1,17,0,42.49,20,39,64,19.74
0,1,0,Hull City,2013/14,2,1,2,1,16,0,76.89,19,38,53,34.21
1,2,1,Hull City,2014/15,2,1,2,1,16,0,76.89,19,38,53,34.21
0,1,1,Hull City,2016/17,1,1,3,1,18,1,146.25,15,37,80,44
0,1,0,Leicester City,2014/15,6,0,3,1,14,0,61.44,19,46,55,25.15
1,2,0,Leicester City,2015/16,6,0,3,1,14,0,61.44,19,46,55,25.15
2,3,0,Leicester City,2016/17,6,0,3,1,14,0,61.44,19,46,55,25.15
3,4,0,Leicester City,2017/18,6,0,3,1,14,0,61.44,19,46,55,25.15
4,5,0,Leicester City,2018/19,6,0,3,1,14,0,61.44,19,46,55,25.15
5,6,0,Leicester City,2019/20,6,0,3,1,14,0,61.44,19,46,55,25.15
